Самые частотные слова:
'di', 152
'qui', 118
'i', 93
'pa', 83
'na', 74
'tudu', 70
'diritu', 49
'si', 47
'ó', 43
'tem', 37
'ca', 36
'º', 30
'artigo', 30
'pecadur', 28
'cu', 27
'díbidi', 27
'terra', 22
'misti', 22
'ê', 22
'pudi', 21
'djintis', 19
'el', 18
'suma', 18
'cada', 16
'fassi', 16
'ta', 16
'ora', 16
'ninguin', 15
'quin', 15
'lei', 12
'pudu', 12
'cussa', 11
'mundu', 11
'tene', 11
'nin', 10
'cussas', 10
'utrus', 10
'manera', 10
'tarbadju', 9
'un', 9
'sin', 9
'quil', 8
'fassidu', 8
'sedu', 8
'stadu', 8
'dianti', 8
'bu', 8
'omi', 7
'pensa', 7
'n', 7
'religion', 7
'djubidu', 7
'pabia', 7
'liberdadi', 7
'djusta', 7
'nada', 6
'padidu', 6
'declaraçon', 6
'scudju', 6
'cassa', 6
'diritus', 6
'cudji', 6
'dadu', 6
'quila', 6
'sta', 5
'quê', 5
'utru', 5
'família', 5
'povu', 5
'força', 5
'djubi', 5
'mati', 5
'metadi', 5
'dibidi', 5
'sinta', 4
'livri', 4
'manda', 4
'bai', 4
'tchiga', 4
'alguin', 4
'nundê', 4
'tê', 4
'mal', 4
'ladu', 4
'son', 4
'garandi', 4
'djudal', 4
'pagadu', 4
'scola', 4
'papia', 4
'a', 4
'faladu', 4
'bida', 4
'bardadi', 3
'vivi', 3
'mama', 3
'ianda', 3
'leba', 3
'tudjidu', 3
'sina', 3
'ermondadi', 3
'difindidu', 3
'mininus', 3
'pui', 3
'própi', 3
'sê', 3
'djuda', 3
'omis', 3
'unida', 3
'bom', 3
'tribunal', 3
'conta', 3
'intidu', 3
'universal', 3
'fassil', 3
'puga', 3
'dia', 3
'bin', 3
'naçon', 3
'culpa', 3
'cuma', 2
'roçon', 2
'paz', 2
'declaração', 2
'udju', 2
'dixa', 2
'maternidadi', 2
'balur', 2
'risso', 2
'cultura', 2
'geral', 2
'interradu', 2
'mon', 2
'livre', 2
'barbadi', 2
'dos', 2
'cumsa', 2
'cunsi', 2
'mindjer', 2
'más', 2
'guarda', 2
'quinhon', 2
'associaçon', 2
'sintidu', 2
'miti', 2
'bicu', 2
'rua', 2
'tarbadja', 2
'mora', 2
'cassamentu', 2
'educaçon', 2
'manga', 2
'runion', 2
'rispita', 2
'mostral', 2
'cau', 2
'duença', 2
'busca', 2
'pecaduris', 2
'malbadessa', 2
'otcha', 2
'mintida', 2
'par', 2
'pissadu', 2
'corçon', 2
'rassa', 2
'intindi', 2
'mistil', 2
'papiadu', 2
'otchal', 2
'assembleia', 2
'sibi', 2
'limpu', 2
'fica', 2
'riba', 2
'caminhu', 2
'caba', 2
'cabeça', 2
'dezemdro', 1
'democracia', 1
'mostra', 1
'enton', 1
'vota', 1
'resoluçon', 1
'condenadu', 1
'danu', 1
'falta', 1
'através', 1
'elis', 1
'má', 1
'anu', 1
'tambe', 1
'membru', 1
'direitos', 1
'sênu', 1
'que', 1
'régulu', 1
'bas', 1
'manifestaçon', 1
'djudadu', 1
'se', 1
'matadu', 1
'nega', 1
'férias', 1
'difindil', 1
'tchigal', 1
'ncunha', 1
'ricunhicidu', 1
'djustadu', 1
'cural', 1
'tomado', 1
'criadu', 1
'sercadu', 1
'matchu', 1
'coldadi', 1
'dunus', 1
'ten', 1
'du', 1
'disna', 1
'unidas', 1
'mostradu', 1
'pratu', 1
'naçons', 1
'comunidadi', 1
'cermónia', 1
'cuirta', 1
'ês', 1
'sai', 1
'familias', 1
'mole', 1
'mesmo', 1
'sempri', 1
'muda', 1
'gurta', 1
'gardicidu', 1
'fémia', 1
'sêdu', 1
'cudjidu', 1
'profissional', 1
'mamal', 1
'políticu', 1
'prindidu', 1
'quilis', 1
'tadjadu', 1
'companher', 1
'sim', 1
'gozal', 1
'mesmu', 1
'crimi', 1
'pul', 1
