Самые частотные слова:
'nier', 81
'xief', 67
'niexxir', 61
'niex', 58
'novdiex', 49
'qianrlif', 37
'dor', 37
'tav', 31
'gof', 28
'bor', 24
'sox', 23
'zifyour', 22
'gaif', 21
'hif', 21
'hufniv', 17
'dav', 16
'liex', 16
'sefhuif', 15
'qianrlir', 15
'riv', 13
'niev', 13
'guanfdor', 13
'nav', 12
'guirjiax', 12
'renfhor', 11
'zuf', 11
'zer', 11
'gixzex', 9
'xianxyanr', 8
'huarlir', 8
'taif', 8
'baovhuf', 7
'zif', 7
'xix', 7
'siv', 7
'wortuv', 7
'jiaofyir', 7
'div', 7
'jief', 6
'renrqianr', 6
'cov', 6
'daivxir', 6
'xianvsouf', 6
'garhaf', 5
'zuif', 5
'sirxianf', 5
'goxniex', 5
'pinrdenv', 5
'puvbianf', 5
'zongxjiaof', 5
'guirjir', 5
'hofnief', 5
'xinrsif', 5
'daf', 5
'guirjiaxdiex', 5
'zifyourdiex', 4
'yer', 4
'sov', 4
'tovlenv', 4
'tir', 4
'xinrweir', 4
'cenrrenf', 4
'renfyif', 4
'jixbenv', 4
'nov', 4
'sifgaif', 4
'guirjif', 4
'qiordinf', 4
'naof', 4
'lianrhor', 4
'guir', 4
'wor', 3
'novbar', 3
'huarzanv', 3
'senxhor', 3
'zifxif', 3
'zunxyanr', 3
'ongr', 3
'qirsif', 3
'ger', 3
'congxhunf', 3
'xierqif', 3
'naf', 3
'canxjiax', 3
'hxaf', 3
'jiersouf', 3
'nurdif', 3
'boxlirdiex', 3
'gongxkaix', 3
'xinrweirdiex', 3
'xianfzif', 3
'xinfyanv', 3
'baovzanf', 3
'xianvzer', 3
'hurlif', 3
'rev', 3
'ganxser', 3
'zixgex', 3
'caircanv', 3
'jier', 3
'qianrlirdiex', 3
'yifwuf', 3
'qinxhaif', 2
'zongfyaof', 2
'diefciv', 2
'hunx', 2
'lirlu', 2
'norgarnir', 2
'qianrlifdiex', 2
'huartinr', 2
'xinrhuar', 2
'wenrhuaf', 2
'gaivbianf', 2
'cursenx', 2
'bur', 2
'zuvzanx', 2
'zongxziv', 2
'guanxxif', 2
'youf', 2
'zuvzir', 2
'weirbeif', 2
'yanrzer', 2
'horpinr', 2
'jixcuv', 2
'lifyif', 2
'jinxsenr', 2
'ongv', 2
'renrger', 2
'cuxjir', 2
'lianrxinx', 2
'partir', 2
'bifmianv', 2
'gongxjir', 2
'koxxior', 2
'zongvzur', 2
'zaoxsouf', 2
'yifzif', 2
'caf', 2
'yixzaof', 2
'xianvjiv', 2
'gongxzenf', 2
'huar', 2
'qinrkuanf', 2
'bordor', 2
'hunxsenx', 2
'jinfbuf', 2
'sanxdongf', 1
'gongxgongf', 1
'puvcir', 1
'biryaof', 1
'duifdaif', 1
'biaovxianf', 1
'bianfhuf', 1
'terbier', 1
'siryinf', 1
'aixliermor', 1
'baovzenf', 1
'nuryif', 1
'panfdinf', 1
'yivyanr', 1
'guanvxiar', 1
'niexkax', 1
'yanrlunf', 1
'huanvpanf', 1
'civ', 1
'perhaif', 1
'canrhuif', 1
'sar', 1
'beifper', 1
'kufxinr', 1
'curjinf', 1
'renrdaof', 1
'muflanx', 1
'jinxdor', 1
'renrsenx', 1
'tix', 1
'jianfgaiv', 1
'senxhunf', 1
'durlir', 1
'buryir', 1
'biaoxzunv', 1
'zenfzifxinf', 1
'xixyaof', 1
'tiaorwenr', 1
'tour', 1
'huanf', 1
'gongxwuf', 1
'denv', 1
'dafhuif', 1
'yifsur', 1
'yir', 1
'jiaofhuiv', 1
'lixkoxlof', 1
'qixlier', 1
'dif', 1
'xiaofgov', 1
'dianfwux', 1
'jif', 1
'jinxjif', 1
'xinfnianf', 1
'zenxzenf', 1
'jixjinf', 1
'suivpinr', 1
'pov', 1
'zivkongfdiex', 1
'cenryanr', 1
'norgarnirdiex', 1
'workuv', 1
'weirhuanv', 1
'laovgax', 1
'nganxqianr', 1
'qianr', 1
'danxyanr', 1
'maxdiex', 1
'xiaoxxir', 1
'yafper', 1
'senvxinf', 1
'duv', 1
