Самые частотные слова:
'ai', 126
'nie', 77
'xie', 53
'qianlif', 43
'do', 42
'novzeu', 41
'xi', 38
'ta', 33
'zeu', 31
'dav', 22
'go', 21
'kylix', 21
'iv', 20
'gyxzeu', 19
'ov', 19
'lax', 19
'riv', 18
'bonie', 17
'lie', 16
'nav', 16
'zifyou', 15
'niev', 14
'zu', 14
'ti', 14
'daov', 14
'sefhuif', 13
'nov', 10
'guijia', 9
'ku', 9
'zif', 8
'huali', 8
'jief', 8
'baovhuf', 7
'div', 7
'guijiazeu', 7
'ca', 6
'guaiv', 6
'nongv', 6
'naof', 6
'xianyan', 6
'lianho', 5
'renqian', 5
'tai', 5
'hun', 5
'zuif', 5
'nieka', 5
'zunyan', 5
'gavxi', 5
'qita', 5
'xinsif', 5
'cov', 5
'gahaf', 5
'guiji', 5
'baovzanf', 5
'gui', 5
'canjia', 4
'huazanv', 4
'bu', 4
'api', 4
'qi', 4
'qinkuanf', 4
'li', 4
'jibenv', 4
'caicanv', 4
'bifmianv', 4
'cujinf', 4
'sov', 4
'puvbianf', 4
'novba', 4
'di', 4
'bav', 4
'qian', 4
'renfyif', 4
'geuv', 4
'tou', 3
'zongjiaof', 3
'xianfzif', 3
'jie', 3
'gongzenf', 3
'cenrenf', 3
'zifxif', 3
'pati', 3
'xinwei', 3
'hxong', 3
'ongv', 3
'diefciv', 3
'renge', 3
'hopin', 3
'conghunf', 3
'novgani', 3
'heuf', 3
'lu', 3
'dafhax', 3
'qiev', 3
'sa', 3
'liev', 3
'hulif', 3
'ye', 3
'lai', 3
'qioden', 3
'qianlifzeu', 3
'zifyouzeu', 3
'hxaf', 3
'wo', 3
'xianvze', 3
'zixge', 3
'nudif', 3
'yifwuf', 3
'reuv', 3
'piaof', 3
'xinweizeu', 2
'xinhua', 2
'zenzenf', 2
'baofcou', 2
'weihuf', 2
'gofxinf', 2
'zovyi', 2
'yanze', 2
'lifyif', 2
'sifgaif', 2
'gao', 2
'qiba', 2
'huaten', 2
'sehuif', 2
'zuvzi', 2
'zenfzif', 2
'mudi', 2
'wenhuaf', 2
'jicuv', 2
'tiaojianf', 2
'lixtolo', 2
'jinsen', 2
'qianliff', 2
'aniex', 2
'guanxif', 2
'xianvsouf', 2
'bodo', 2
'cuji', 2
'koxio', 2
'ganse', 2
'hosif', 2
'zongziv', 2
'yifzif', 2
'ha', 2
'guijif', 2
'sixianf', 2
'die', 2
'siv', 2
'renfho', 2
'hodongf', 2
'xianvjiv', 2
'akaizeu', 2
'puvci', 2
'tao', 2
'zongvzu', 2
'dai', 2
'gongkai', 2
'tiv', 2
'pindenv', 2
'hua', 2
'xinfbie', 1
'biaovxianf', 1
'kongfzif', 1
'zopinv', 1
'duifdaif', 1
'qianli', 1
'tebie', 1
'bianfhuf', 1
'suivpin', 1
'jifsu', 1
'jiafzi', 1
'lancan', 1
'xinfyanv', 1
'pehaif', 1
'xiaofgo', 1
